"Personas mayores: Centros, plazas y personas usuarias de la C.A. de Euskadi por tipo de población, centros, plazas, personas usuarias, territorio histórico, titularidad y periodo"

"tipo de población","centros, plazas, personas usuarias","territorio histórico","titularidad","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Total","-Personas usuarias","Bizkaia","Total",4542,4631,4395,4560,4901,5293,5309,5486,6126,6872,7090,7368,7790,8472,8413,9064,9238,9149,9027,9395,9503,9790,9934,10128,10200,10223,9200,9518,9892,10228
"Total","-Personas usuarias","Bizkaia","Público",1325,1353,1379,1397,1414,1459,1423,1397,1334,1302,1329,1287,1248,1939,1990,2524,2655,2837,2014,2985,3019,3051,3096,3133,3095,3072,2753,2763,2894,2954
"Total","-Personas usuarias","Bizkaia","Privado",3217,3278,3016,3163,3487,3834,3886,4089,4792,5570,5761,6081,6542,6533,6423,6540,6583,6312,7013,6410,6484,6739,6838,6995,7105,7151,6447,6755,6998,7274
"Total","-Personas usuarias","Gipuzkoa","Total",3485,3645,3095,3197,3349,3685,3901,3985,4023,4408,4639,4670,4942,4993,5072,5422,5433,5433,5459,5468,5515,5619,5656,5775,5757,5535,5221,5354,5460,5575
"Total","-Personas usuarias","Gipuzkoa","Público",1835,1984,1631,1685,2347,2614,2567,2622,2663,2361,2434,2416,2385,2367,2277,2355,2352,2567,2663,2770,2634,2631,2622,2673,2694,2672,2417,2598,2530,2556
"Total","-Personas usuarias","Gipuzkoa","Privado",1650,1661,1464,1512,1002,1071,1334,1363,1360,2047,2205,2254,2557,2626,2795,3067,3081,2866,2796,2698,2881,2988,3034,3102,3063,2863,2804,2756,2930,3019
"Autónomas","-Centros","C.A. de Euskadi","Total",45,49,45,49,73,103,104,85,78,78,78,83,80,83,77,90,84,82,88,91,88,89,86,86,94,84,71,72,74,75
"Autónomas","-Centros","C.A. de Euskadi","Público",24,27,25,22,28,30,33,35,36,39,41,43,49,51,55,70,62,65,74,78,77,77,75,76,84,75,62,64,66,67
"Autónomas","-Centros","C.A. de Euskadi","Privado",21,22,20,27,45,73,71,50,42,39,37,40,31,32,22,20,22,17,14,13,11,12,11,10,10,9,9,8,8,8
"Autónomas","-Centros","Araba/Álava","Total",14,17,17,17,27,30,31,28,27,25,22,22,22,21,17,15,15,15,15,15,13,13,13,13,13,13,12,11,12,12
"Autónomas","-Centros","Araba/Álava","Público",8,11,10,10,11,12,13,13,13,13,13,13,13,12,12,12,12,12,12,12,11,11,11,11,11,11,10,10,10,10
"Autónomas","-Centros","Araba/Álava","Privado",6,6,7,7,16,18,18,15,14,12,9,9,9,9,5,3,3,3,3,3,2,2,2,2,2,2,2,1,2,2
"Autónomas","-Centros","Bizkaia","Total",18,18,15,19,27,51,50,34,27,24,25,29,23,24,19,20,21,16,15,15,14,15,13,13,13,12,12,13,12,12
