"Victimizaciones (número de casos) por ámbito teritorial, violencia contra las mujeres y periodo"

"Debagoiena / Alto Deba","Violencia sexual en otros tipos de relación(*)",:,7,7,20,10,21,12,30
"Donostialdea","Total",810,904,789,867,1000,970,1116,1103
"Donostialdea","Violencia ejercida por pareja / expareja",:,687,591,595,716,704,774,780
"Donostialdea","Violencia intrafamiliar",:,152,139,194,199,146,193,194
"Donostialdea","Violencia sexual en otros tipos de relación(*)",:,65,59,78,85,120,149,129
"Durangaldea / Duranguesado","Total",188,171,172,172,242,258,295,315
"Durangaldea / Duranguesado","Violencia ejercida por pareja / expareja",:,122,119,127,172,179,208,203
"Durangaldea / Duranguesado","Violencia intrafamiliar",:,35,45,34,49,56,63,83
"Durangaldea / Duranguesado","Violencia sexual en otros tipos de relación(*)",:,14,8,11,21,23,24,29
"Enkartazioak / Encartaciones","Total",60,66,83,77,84,89,101,83
"Enkartazioak / Encartaciones","Violencia ejercida por pareja / expareja",:,45,56,57,60,66,79,59
"Enkartazioak / Encartaciones","Violencia intrafamiliar",:,15,19,15,20,17,21,16
"Enkartazioak / Encartaciones","Violencia sexual en otros tipos de relación(*)",:,6,8,5,4,6,1,8
"Gernika-Bermeo","Total",97,116,141,109,104,120,132,163
"Gernika-Bermeo","Violencia ejercida por pareja / expareja",:,92,111,81,74,78,93,109
"Gernika-Bermeo","Violencia intrafamiliar",:,17,27,22,27,29,27,30
"Gernika-Bermeo","Violencia sexual en otros tipos de relación(*)",:,7,3,6,3,13,12,24
"Goierri","Total",93,97,124,124,129,138,179,200
"Goierri","Violencia ejercida por pareja / expareja",:,63,85,88,90,99,124,150
"Goierri","Violencia intrafamiliar",:,25,32,21,28,29,31,35
"Goierri","Violencia sexual en otros tipos de relación(*)",:,9,7,15,11,10,24,15
"Gorbeialdea / Estribaciones del Gorbea","Total",6,9,12,15,18,19,31,28
"Gorbeialdea / Estribaciones del Gorbea","Violencia ejercida por pareja / expareja",:,6,10,11,11,12,20,25
"Gorbeialdea / Estribaciones del Gorbea","Violencia intrafamiliar",:,1,1,4,6,5,10,2
