"Personal, gasto y financiación de los servicios sociales de la C.A. de Euskadi por personal, gasto y financiación, territorio histórico y periodo"

"-Transferencias a familias","C.A. de Euskadi",:,62818,76275,84770,90781,105867,111378,116644,120695,119663,129800,125261,142079,164562,202511,232086,270046,274566,308074,332250,425215,576342,628214,655364,692664,756929,792186,801040,791438,761000,741805,787828,786598,876337,1063111
"-Transferencias a familias","Araba/Álava",:,11240,13673,12595,10275,10555,12121,13938,13599,13498,14124,13126,15526,18713,25152,31589,35245,33347,37363,44241,67783,85587,94088,99819,107349,120055,126011,129574,123139,119634,114100,124221,129628,144158,180693
"-Transferencias a familias","Bizkaia",:,33941,41868,47896,50290,63561,66461,71780,74379,73907,84466,79966,87454,104663,127189,146557,171853,182927,206201,220015,265265,364261,388091,396290,408119,424914,439953,433544,439522,427982,416548,439394,435229,482422,575970
"-Transferencias a familias","Gipuzkoa",:,17637,20735,24280,30216,31751,32796,30925,32717,32258,31210,32169,39099,41186,50171,53940,62949,58293,64510,67994,92166,126494,146035,159254,177196,211961,226223,237921,228777,213385,211157,224213,221741,249757,306449
"-Gasto de capital","C.A. de Euskadi",10295,10965,16159,20223,18135,14355,15581,14723,13466,13665,21598,34416,32420,37181,41517,54681,50057,63993,66496,78289,92936,118654,84140,57439,59251,28794,40786,26665,42827,52057,42299,30567,57426,53664,154300
"-Gasto de capital","Araba/Álava",620,86,867,1878,1389,2484,2411,3207,3363,2731,5204,2899,3455,2690,3515,4808,3329,3130,4001,10165,11007,5662,4535,6611,16320,2804,1421,3128,5270,12539,6964,2037,1723,5063,17751
"-Gasto de capital","Bizkaia",6597,5547,8186,7958,6912,4855,7214,4529,4136,5300,10260,10864,12621,23182,21634,29667,28516,32009,29919,31060,42593,56305,43973,32155,24177,15228,13727,13906,12237,22246,22903,17856,22999,26498,47014
"-Gasto de capital","Gipuzkoa",3078,5332,7106,10386,9834,7015,5957,6988,5967,5634,6134,20653,16344,11309,16368,20206,18213,28853,32575,37065,39335,56687,35632,18673,18755,10762,25638,9631,25321,17271,12432,10674,32705,22103,89534
"Financiación (miles de Euros)","C.A. de Euskadi",167905,234535,291328,346726,382360,435091,462793,470459,495623,514131,562669,620565,688720,789051,915747,1073054,1196320,1297642,1457289,1622565,1861067,2122914,2176240,2307556,2290590,2429325,2499300,2609249,2751101,2815136,2842232,2865839,3023573,3224818,3816985
"Financiación (miles de Euros)","Araba/Álava",35401,46981,56585,63280,67565,81329,89883,90206,92341,94313,103324,111521,120434,135447,161520,189821,205366,212865,236603,266591,312087,332436,339805,352541,368622,375362,391875,416842,422878,444090,451140,461557,490803,520798,611346
"Financiación (miles de Euros)","Bizkaia",75380,118854,149172,176773,192623,218707,227456,230569,239933,249495,280681,296347,331059,398537,460682,545494,614863,677656,763614,847797,975562,1133224,1157137,1257389,1198477,1217794,1233941,1264208,1289508,1372850,1377909,1435571,1506028,1621801,1873133
"Financiación (miles de Euros)","Gipuzkoa",57124,68700,85572,106674,122172,135055,145454,149684,163348,170323,178665,212698,237227,255067,293546,337740,376091,407121,457072,508177,573418,657253,679297,697626,723491,836170,873484,928199,1038715,998197,1013183,968711,1026742,1082218,1332506
"-Pública","C.A. de Euskadi",109137,167157,213393,251488,276927,316665,326807,339251,353912,365226,393859,420475,477444,553892,642289,741894,837714,903157,1035909,1142199,1346932,1591367,1633484,1680237,1693858,1788255,1809506,1873266,1919832,1940520,1984499,2098105,2204159,2325089,2724785
"-Pública","Araba/Álava",28177,34546,43211,52919,54391,66491,70941,72458,74546,78232,84175,88635,96394,108907,129160,146239,156912,161865,182443,207192,252846,273775,281268,289135,293951,304192,314387,332989,331567,340488,345813,363607,391921,407805,476700
"-Pública","Bizkaia",39712,82819,107307,121300,135454,153728,155149,165754,173304,176472,196891,201257,232875,285732,328856,384180,443403,479719,552241,603928,698765,844142,865667,902176,884013,911519,925366,948407,955267,998195,1005302,1082525,1118516,1170999,1374763
"-Pública","Gipuzkoa",41248,49792,62876,77269,87081,96446,100717,101038,106062,110522,112793,130584,148175,159253,184273,211476,237400,261573,301226,331080,395321,473450,486549,488926,515894,572544,569754,591871,632998,601838,633384,651972,693722,746285,873322
"-Privada","C.A. de Euskadi",58768,67378,77935,95238,105434,118426,135986,131208,141711,148905,168811,200090,211275,235159,273458,331160,358606,394485,421380,480366,514135,531547,542756,627319,596732,641071,689794,735983,831269,874616,857733,767734,819414,899729,1092200
"-Privada","Araba/Álava",7224,12435,13374,10360,13174,14838,18942,17748,17796,16080,19149,22886,24040,26540,32360,43582,48455,51000,54161,59399,59242,58661,58538,63406,74671,71170,77488,83853,91311,103602,105326,97950,98881,112993,134646
"-Privada","Bizkaia",35668,36035,41865,55472,57169,64978,72307,64814,66629,73024,83790,95090,98184,112805,131825,161314,171460,197938,211373,243869,276797,289083,291470,355213,314464,306275,308576,315801,334240,374655,372607,353046,387511,450803,498370
"-Privada","Gipuzkoa",15877,18907,22696,29405,35091,38610,44736,48646,57287,59801,65872,82114,89051,95814,109273,126264,138691,145548,155846,177097,178097,183803,192748,208700,207597,263626,303730,336328,405718,396359,379799,316739,333021,335933,459184
"Gasto/Habitante (Euros)","C.A. de Euskadi",79.1,110.9,138.4,164.8,181.7,206.9,220.2,224.1,236.8,246.2,270.1,298.5,331.2,378.3,437.7,506.1,562.0,606.1,684.4,755.5,860.4,978.7,1001.0,1061.4,1050.0,1118.0,1150.0,1201.4,1264.4,1291.1,1299.0,1302.8,1378.7,1474.8,1737.6
"Gasto/Habitante (Euros)","Araba/Álava",130.4,172.7,207.7,230.7,244.6,292.4,321.3,320.7,326.5,332.6,364.5,393.5,423.2,471.5,556.6,641.8,686.6,705.2,773.7,860.6,995.3,1048.6,1066.1,1106.1,1145.3,1172.9,1217.8,1293.2,1306.8,1364.3,1375.6,1397.8,1486.4,1574.9,1836.7
"Gasto/Habitante (Euros)","Bizkaia",64.5,102.2,129.0,153.2,167.3,190.5,198.6,202.0,211.2,220.5,249.1,263.8,295.0,354.3,408.6,478.9,538.2,590.6,671.7,740.8,847.5,984.0,1004.1,1091.1,1038.4,1064.3,1081.0,1110.1,1131.7,1203.6,1205.7,1249.4,1316.3,1423.6,1637.3
"Gasto/Habitante (Euros)","Gipuzkoa",83.6,101.0,126.5,157.7,180.6,199.6,215.0,221.3,242.3,252.8,265.6,316.3,352.8,378.6,435.4,492.6,547.3,588.7,665.6,732.7,821.2,938.5,966.4,992.5,1025.4,1180.0,1230.3,1306.0,1457.2,1397.5,1412.7,1344.6,1428.4,1510.2,1851.0
"Gasto/ P.I.B.","C.A. de Euskadi",1.0,1.3,1.4,1.6,1.6,1.8,1.8,1.6,1.6,1.6,1.6,1.6,1.6,1.8,2.0,2.2,2.2,2.3,2.4,2.4,2.7,3.3,3.3,3.5,3.5,3.6,3.6,3.7,3.7,3.7,3.6,4.0,3.9,3.7,4.1
"Gasto/ P.I.B.","Araba/Álava",1.4,1.6,1.8,1.8,1.9,2.2,2.2,2.0,1.9,1.7,1.7,1.7,1.7,1.9,2.1,2.3,2.3,2.2,2.3,2.4,2.8,3.2,3.1,3.4,3.5,3.4,3.5,3.6,3.5,3.6,3.6,4.1,4.0,3.8,4.1
"Gasto/ P.I.B.","Bizkaia",0.9,1.2,1.4,1.6,1.6,1.8,1.7,1.6,1.5,1.5,1.6,1.5,1.6,1.8,2.0,2.2,2.3,2.3,2.4,2.5,2.8,3.4,3.5,3.7,3.6,3.6,3.5,3.5,3.4,3.5,3.4,3.9,3.8,3.7,4.0
"Gasto/ P.I.B.","Gipuzkoa",1.0,1.1,1.3,1.5,1.6,1.7,1.7,1.6,1.6,1.6,1.5,1.7,1.7,1.7,1.9,2.1,2.2,2.2,2.3,2.3,2.5,3.1,3.2,3.2,3.4,3.8,3.8,4.0,4.2,3.9,3.8,4.0,3.9,3.8,4.3
