Año;Ámbito territorial;Magnitud;Valor
2024;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";10,1
2025;"C.A. de Euskadi";"Defunciones Totales";23214
2025;"C.A. de Euskadi";"Tasa % por 1000 Habitantes";10,4
1975;"Araba/Álava";"Defunciones Totales";1534
1975;"Araba/Álava";"Tasa % por 1000 Habitantes";6,5
1976;"Araba/Álava";"Defunciones Totales";1607
1976;"Araba/Álava";"Tasa % por 1000 Habitantes";6,7
1977;"Araba/Álava";"Defunciones Totales";1584
1977;"Araba/Álava";"Tasa % por 1000 Habitantes";6,5
1978;"Araba/Álava";"Defunciones Totales";1617
1978;"Araba/Álava";"Tasa % por 1000 Habitantes";6,5
1979;"Araba/Álava";"Defunciones Totales";1555
1979;"Araba/Álava";"Tasa % por 1000 Habitantes";6,2
1980;"Araba/Álava";"Defunciones Totales";1537
1980;"Araba/Álava";"Tasa % por 1000 Habitantes";6
1981;"Araba/Álava";"Defunciones Totales";1461
1981;"Araba/Álava";"Tasa % por 1000 Habitantes";5,6
1982;"Araba/Álava";"Defunciones Totales";1490
1982;"Araba/Álava";"Tasa % por 1000 Habitantes";5,7
1983;"Araba/Álava";"Defunciones Totales";1513
1983;"Araba/Álava";"Tasa % por 1000 Habitantes";5,7
1984;"Araba/Álava";"Defunciones Totales";1451
1984;"Araba/Álava";"Tasa % por 1000 Habitantes";5,5
1985;"Araba/Álava";"Defunciones Totales";1636
1985;"Araba/Álava";"Tasa % por 1000 Habitantes";6,1
1986;"Araba/Álava";"Defunciones Totales";1539
1986;"Araba/Álava";"Tasa % por 1000 Habitantes";5,7
1987;"Araba/Álava";"Defunciones Totales";1578
1987;"Araba/Álava";"Tasa % por 1000 Habitantes";5,8
1988;"Araba/Álava";"Defunciones Totales";1758
1988;"Araba/Álava";"Tasa % por 1000 Habitantes";6,5
1989;"Araba/Álava";"Defunciones Totales";1730
1989;"Araba/Álava";"Tasa % por 1000 Habitantes";6,4
1990;"Araba/Álava";"Defunciones Totales";1886
1990;"Araba/Álava";"Tasa % por 1000 Habitantes";6,9
1991;"Araba/Álava";"Defunciones Totales";1919
1991;"Araba/Álava";"Tasa % por 1000 Habitantes";7
1992;"Araba/Álava";"Defunciones Totales";1828
1992;"Araba/Álava";"Tasa % por 1000 Habitantes";6,6
1993;"Araba/Álava";"Defunciones Totales";1906
1993;"Araba/Álava";"Tasa % por 1000 Habitantes";6,9
1994;"Araba/Álava";"Defunciones Totales";1933
1994;"Araba/Álava";"Tasa % por 1000 Habitantes";6,9
1995;"Araba/Álava";"Defunciones Totales";2048
1995;"Araba/Álava";"Tasa % por 1000 Habitantes";7,3
1996;"Araba/Álava";"Defunciones Totales";2088
1996;"Araba/Álava";"Tasa % por 1000 Habitantes";7,4
1997;"Araba/Álava";"Defunciones Totales";2037
1997;"Araba/Álava";"Tasa % por 1000 Habitantes";7,2
1998;"Araba/Álava";"Defunciones Totales";2104
1998;"Araba/Álava";"Tasa % por 1000 Habitantes";7,4
1999;"Araba/Álava";"Defunciones Totales";2272
1999;"Araba/Álava";"Tasa % por 1000 Habitantes";8
2000;"Araba/Álava";"Defunciones Totales";2191
2000;"Araba/Álava";"Tasa % por 1000 Habitantes";7,7
2001;"Araba/Álava";"Defunciones Totales";2219
2001;"Araba/Álava";"Tasa % por 1000 Habitantes";7,8
2002;"Araba/Álava";"Defunciones Totales";2166
2002;"Araba/Álava";"Tasa % por 1000 Habitantes";7,5
2003;"Araba/Álava";"Defunciones Totales";2357
2003;"Araba/Álava";"Tasa % por 1000 Habitantes";8,1
2004;"Araba/Álava";"Defunciones Totales";2275
2004;"Araba/Álava";"Tasa % por 1000 Habitantes";7,7
2005;"Araba/Álava";"Defunciones Totales";2498
2005;"Araba/Álava";"Tasa % por 1000 Habitantes";8,3
2006;"Araba/Álava";"Defunciones Totales";2247
2006;"Araba/Álava";"Tasa % por 1000 Habitantes";7,4
2007;"Araba/Álava";"Defunciones Totales";2414
2007;"Araba/Álava";"Tasa % por 1000 Habitantes";7,8
2008;"Araba/Álava";"Defunciones Totales";2414
2008;"Araba/Álava";"Tasa % por 1000 Habitantes";7,7
2009;"Araba/Álava";"Defunciones Totales";2494
2009;"Araba/Álava";"Tasa % por 1000 Habitantes";7,9
2010;"Araba/Álava";"Defunciones Totales";2430
2010;"Araba/Álava";"Tasa % por 1000 Habitantes";7,6
2011;"Araba/Álava";"Defunciones Totales";2519
2011;"Araba/Álava";"Tasa % por 1000 Habitantes";7,9
2012;"Araba/Álava";"Defunciones Totales";2521
2012;"Araba/Álava";"Tasa % por 1000 Habitantes";7,9
2013;"Araba/Álava";"Defunciones Totales";2579
2013;"Araba/Álava";"Tasa % por 1000 Habitantes";8
2014;"Araba/Álava";"Defunciones Totales";2477
2014;"Araba/Álava";"Tasa % por 1000 Habitantes";7,7
2015;"Araba/Álava";"Defunciones Totales";2767
2015;"Araba/Álava";"Tasa % por 1000 Habitantes";8,6
2016;"Araba/Álava";"Defunciones Totales";2688
2016;"Araba/Álava";"Tasa % por 1000 Habitantes";8,3
2017;"Araba/Álava";"Defunciones Totales";2813
2017;"Araba/Álava";"Tasa % por 1000 Habitantes";8,7
2018;"Araba/Álava";"Defunciones Totales";2763
2018;"Araba/Álava";"Tasa % por 1000 Habitantes";8,5
2019;"Araba/Álava";"Defunciones Totales";2737
2019;"Araba/Álava";"Tasa % por 1000 Habitantes";8,3
2020;"Araba/Álava";"Defunciones Totales";3266
2020;"Araba/Álava";"Tasa % por 1000 Habitantes";9,9
2021;"Araba/Álava";"Defunciones Totales";2970
2021;"Araba/Álava";"Tasa % por 1000 Habitantes";9
2022;"Araba/Álava";"Defunciones Totales";3170
2022;"Araba/Álava";"Tasa % por 1000 Habitantes";9,6
2023;"Araba/Álava";"Defunciones Totales";2914
2023;"Araba/Álava";"Tasa % por 1000 Habitantes";8,7
2024;"Araba/Álava";"Defunciones Totales";3026
2024;"Araba/Álava";"Tasa % por 1000 Habitantes";9
2025;"Araba/Álava";"Defunciones Totales";3111
2025;"Araba/Álava";"Tasa % por 1000 Habitantes";9,2
1975;"Bizkaia";"Defunciones Totales";8439
1975;"Bizkaia";"Tasa % por 1000 Habitantes";7,3
1976;"Bizkaia";"Defunciones Totales";8288
1976;"Bizkaia";"Tasa % por 1000 Habitantes";7,1
1977;"Bizkaia";"Defunciones Totales";8337
1977;"Bizkaia";"Tasa % por 1000 Habitantes";7,1
1978;"Bizkaia";"Defunciones Totales";8225
1978;"Bizkaia";"Tasa % por 1000 Habitantes";7
1979;"Bizkaia";"Defunciones Totales";8417
1979;"Bizkaia";"Tasa % por 1000 Habitantes";7,1
1980;"Bizkaia";"Defunciones Totales";8455
1980;"Bizkaia";"Tasa % por 1000 Habitantes";7,1
1981;"Bizkaia";"Defunciones Totales";8723
1981;"Bizkaia";"Tasa % por 1000 Habitantes";7,3
1982;"Bizkaia";"Defunciones Totales";7986
1982;"Bizkaia";"Tasa % por 1000 Habitantes";6,7
1983;"Bizkaia";"Defunciones Totales";8431
1983;"Bizkaia";"Tasa % por 1000 Habitantes";7,1
1984;"Bizkaia";"Defunciones Totales";8687
1984;"Bizkaia";"Tasa % por 1000 Habitantes";7,3
1985;"Bizkaia";"Defunciones Totales";8850
1985;"Bizkaia";"Tasa % por 1000 Habitantes";7,5
1986;"Bizkaia";"Defunciones Totales";8584
1986;"Bizkaia";"Tasa % por 1000 Habitantes";7,3
1987;"Bizkaia";"Defunciones Totales";8535
1987;"Bizkaia";"Tasa % por 1000 Habitantes";7,3
1988;"Bizkaia";"Defunciones Totales";8634
1988;"Bizkaia";"Tasa % por 1000 Habitantes";7,4
1989;"Bizkaia";"Defunciones Totales";8623
1989;"Bizkaia";"Tasa % por 1000 Habitantes";7,4
1990;"Bizkaia";"Defunciones Totales";9387
1990;"Bizkaia";"Tasa % por 1000 Habitantes";8,1
1991;"Bizkaia";"Defunciones Totales";9320
1991;"Bizkaia";"Tasa % por 1000 Habitantes";8,1
1992;"Bizkaia";"Defunciones Totales";9274
1992;"Bizkaia";"Tasa % por 1000 Habitantes";8
1993;"Bizkaia";"Defunciones Totales";9393
1993;"Bizkaia";"Tasa % por 1000 Habitantes";8,2
1994;"Bizkaia";"Defunciones Totales";9301
1994;"Bizkaia";"Tasa % por 1000 Habitantes";8,1
1995;"Bizkaia";"Defunciones Totales";9829
1995;"Bizkaia";"Tasa % por 1000 Habitantes";8,6
1996;"Bizkaia";"Defunciones Totales";10012
1996;"Bizkaia";"Tasa % por 1000 Habitantes";8,8
1997;"Bizkaia";"Defunciones Totales";9764
