Año;Ocupacion;Sexo;Ámbito territorial;Magnitud;Valor
2024;"Alta dirección";"Mujer";"Bizkaia";"%";29,9
2021;"Alta dirección";"Mujer";"Bizkaia";"%";29,5
2020;"Alta dirección";"Mujer";"Bizkaia";"%";32,8
2019;"Alta dirección";"Mujer";"Bizkaia";"%";34,5
2013;"Alta dirección";"Mujer";"Bizkaia";"%";30,9
2018;"Alta dirección";"Mujer";"Bizkaia";"%";27,8
2017;"Alta dirección";"Mujer";"Bizkaia";"%";29,3
2015;"Alta dirección";"Mujer";"Bizkaia";"%";32,3
2012;"Alta dirección";"Mujer";"Bizkaia";"%";27,8
2010;"Alta dirección";"Mujer";"Bizkaia";"%";34,9
2014;"Alta dirección";"Mujer";"Bizkaia";"%";25,2
2022;"Alta dirección";"Mujer";"Bizkaia";"%";31,1
2011;"Alta dirección";"Mujer";"Bizkaia";"%";29,3
2016;"Alta dirección";"Mujer";"Bizkaia";"%";29,9
2024;"Alta dirección";"Mujer";"Gipuzkoa";"%";29,4
2022;"Alta dirección";"Mujer";"Gipuzkoa";"%";24,9
2017;"Alta dirección";"Mujer";"Gipuzkoa";"%";33,7
2018;"Alta dirección";"Mujer";"Gipuzkoa";"%";33,8
2019;"Alta dirección";"Mujer";"Gipuzkoa";"%";29,6
2015;"Alta dirección";"Mujer";"Gipuzkoa";"%";26,1
2014;"Alta dirección";"Mujer";"Gipuzkoa";"%";32,4
2011;"Alta dirección";"Mujer";"Gipuzkoa";"%";25,4
2012;"Alta dirección";"Mujer";"Gipuzkoa";"%";27
2010;"Alta dirección";"Mujer";"Gipuzkoa";"%";28,4
2013;"Alta dirección";"Mujer";"Gipuzkoa";"%";33,8
2016;"Alta dirección";"Mujer";"Gipuzkoa";"%";33,2
2020;"Alta dirección";"Mujer";"Gipuzkoa";"%";26,9
2021;"Alta dirección";"Mujer";"Gipuzkoa";"%";29,1
2023;"Alta dirección";"Mujer";"Gipuzkoa";"%";26,2
2011;"Empresaria";"Mujer";"C.A. de Euskadi";"%";34,5
2019;"Empresaria";"Mujer";"C.A. de Euskadi";"%";35,1
2020;"Empresaria";"Mujer";"C.A. de Euskadi";"%";34,4
2014;"Empresaria";"Mujer";"C.A. de Euskadi";"%";35,2
