Año;Habilidad informática;Edad;Sexo;Ámbito territorial;Magnitud;Valor
2024;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"C.A. de Euskadi";"%";21,3
2022;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"C.A. de Euskadi";"%";23
2020;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Araba/Álava";"%";26,8
2019;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Araba/Álava";"%";16,2
2021;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Araba/Álava";"%";27
2023;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Araba/Álava";"%";31,7
2025;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Araba/Álava";"%";28,9
2024;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Araba/Álava";"%";24,2
2022;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Araba/Álava";"%";23,6
2022;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Bizkaia";"%";22,5
2024;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Bizkaia";"%";21,5
2025;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Bizkaia";"%";30
2019;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Bizkaia";"%";16,7
2023;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Bizkaia";"%";34,4
2020;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Bizkaia";"%";27,9
2021;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Bizkaia";"%";28
2021;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Gipuzkoa";"%";28,1
2022;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Gipuzkoa";"%";23,7
2020;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Gipuzkoa";"%";30,1
2025;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Gipuzkoa";"%";28,1
2019;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Gipuzkoa";"%";14,7
2024;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Gipuzkoa";"%";19,4
2023;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Total";"Gipuzkoa";"%";32,7
2025;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"C.A. de Euskadi";"%";53,7
2024;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"C.A. de Euskadi";"%";51
2022;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"C.A. de Euskadi";"%";57,2
2020;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"C.A. de Euskadi";"%";55,4
2019;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"C.A. de Euskadi";"%";55,4
2023;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"C.A. de Euskadi";"%";56,3
2021;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"C.A. de Euskadi";"%";61,5
2022;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"Araba/Álava";"%";56,7
2024;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"Araba/Álava";"%";52
2025;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"Araba/Álava";"%";54,2
2020;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"Araba/Álava";"%";54
2023;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"Araba/Álava";"%";54,8
2019;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"Araba/Álava";"%";55,8
2021;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"Araba/Álava";"%";61,9
2025;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"Bizkaia";"%";54,1
2022;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"Bizkaia";"%";56,7
2024;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"Bizkaia";"%";51,2
2019;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"Bizkaia";"%";55,8
2021;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"Bizkaia";"%";61,6
2020;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"Bizkaia";"%";54,3
2023;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"Bizkaia";"%";56
2022;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"Gipuzkoa";"%";58,3
2023;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"Gipuzkoa";"%";57,3
2020;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"Gipuzkoa";"%";57,7
2021;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"Gipuzkoa";"%";61
2025;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"Gipuzkoa";"%";53
2024;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"Gipuzkoa";"%";50,3
2019;"B - Copiar o mover ficheros o carpetas";"Total";"Total";"Gipuzkoa";"%";54,5
2020;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"C.A. de Euskadi";"%";45
2023;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"C.A. de Euskadi";"%";41,1
2019;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"C.A. de Euskadi";"%";42,2
2024;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"C.A. de Euskadi";"%";40
