Año;Habilidad informática;Edad;Sexo;Ámbito territorial;Magnitud;Valor
2019;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Mujer";"Gipuzkoa";"%";50,3
2024;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Mujer";"Gipuzkoa";"%";33,2
2019;"A - Al menos una / Competencia global";"Total";"Hombre";"C.A. de Euskadi";"%";69,7
2024;"A - Al menos una / Competencia global";"Total";"Hombre";"C.A. de Euskadi";"%";71,4
2025;"A - Al menos una / Competencia global";"Total";"Hombre";"C.A. de Euskadi";"%";72,9
2023;"A - Al menos una / Competencia global";"Total";"Hombre";"C.A. de Euskadi";"%";72,5
2020;"A - Al menos una / Competencia global";"Total";"Hombre";"C.A. de Euskadi";"%";71,4
2021;"A - Al menos una / Competencia global";"Total";"Hombre";"C.A. de Euskadi";"%";76,2
2022;"A - Al menos una / Competencia global";"Total";"Hombre";"C.A. de Euskadi";"%";69,4
2020;"A - Al menos una / Competencia global";"Total";"Hombre";"Araba/Álava";"%";69,5
2024;"A - Al menos una / Competencia global";"Total";"Hombre";"Araba/Álava";"%";72,3
2021;"A - Al menos una / Competencia global";"Total";"Hombre";"Araba/Álava";"%";76,4
2019;"A - Al menos una / Competencia global";"Total";"Hombre";"Araba/Álava";"%";71
2023;"A - Al menos una / Competencia global";"Total";"Hombre";"Araba/Álava";"%";69,8
2025;"A - Al menos una / Competencia global";"Total";"Hombre";"Araba/Álava";"%";72,3
2022;"A - Al menos una / Competencia global";"Total";"Hombre";"Araba/Álava";"%";68,9
2025;"A - Al menos una / Competencia global";"Total";"Hombre";"Bizkaia";"%";74,2
2019;"A - Al menos una / Competencia global";"Total";"Hombre";"Bizkaia";"%";71
2022;"A - Al menos una / Competencia global";"Total";"Hombre";"Bizkaia";"%";69,9
2021;"A - Al menos una / Competencia global";"Total";"Hombre";"Bizkaia";"%";76,5
2020;"A - Al menos una / Competencia global";"Total";"Hombre";"Bizkaia";"%";71,4
2023;"A - Al menos una / Competencia global";"Total";"Hombre";"Bizkaia";"%";73
2024;"A - Al menos una / Competencia global";"Total";"Hombre";"Bizkaia";"%";72,6
2021;"A - Al menos una / Competencia global";"Total";"Hombre";"Gipuzkoa";"%";75,8
2023;"A - Al menos una / Competencia global";"Total";"Hombre";"Gipuzkoa";"%";73
2025;"A - Al menos una / Competencia global";"Total";"Hombre";"Gipuzkoa";"%";71,3
2020;"A - Al menos una / Competencia global";"Total";"Hombre";"Gipuzkoa";"%";72,3
2019;"A - Al menos una / Competencia global";"Total";"Hombre";"Gipuzkoa";"%";66,9
2024;"A - Al menos una / Competencia global";"Total";"Hombre";"Gipuzkoa";"%";69
2022;"A - Al menos una / Competencia global";"Total";"Hombre";"Gipuzkoa";"%";68,8
2024;"D - Instalar software o aplicaciones";"Total";"Hombre";"C.A. de Euskadi";"%";51,2
2021;"D - Instalar software o aplicaciones";"Total";"Hombre";"C.A. de Euskadi";"%";68,1
2023;"D - Instalar software o aplicaciones";"Total";"Hombre";"C.A. de Euskadi";"%";54,3
2025;"D - Instalar software o aplicaciones";"Total";"Hombre";"C.A. de Euskadi";"%";49,2
2019;"D - Instalar software o aplicaciones";"Total";"Hombre";"C.A. de Euskadi";"%";57,3
2022;"D - Instalar software o aplicaciones";"Total";"Hombre";"C.A. de Euskadi";"%";56,2
2020;"D - Instalar software o aplicaciones";"Total";"Hombre";"C.A. de Euskadi";"%";60,9
2023;"D - Instalar software o aplicaciones";"Total";"Hombre";"Araba/Álava";"%";52,5
2020;"D - Instalar software o aplicaciones";"Total";"Hombre";"Araba/Álava";"%";58,7
2021;"D - Instalar software o aplicaciones";"Total";"Hombre";"Araba/Álava";"%";69,7
2025;"D - Instalar software o aplicaciones";"Total";"Hombre";"Araba/Álava";"%";50,2
2019;"D - Instalar software o aplicaciones";"Total";"Hombre";"Araba/Álava";"%";59,3
2024;"D - Instalar software o aplicaciones";"Total";"Hombre";"Araba/Álava";"%";53,9
2022;"D - Instalar software o aplicaciones";"Total";"Hombre";"Araba/Álava";"%";56
2021;"D - Instalar software o aplicaciones";"Total";"Hombre";"Bizkaia";"%";68,2
2023;"D - Instalar software o aplicaciones";"Total";"Hombre";"Bizkaia";"%";54,6
2024;"D - Instalar software o aplicaciones";"Total";"Hombre";"Bizkaia";"%";51,2
2020;"D - Instalar software o aplicaciones";"Total";"Hombre";"Bizkaia";"%";59,8
2019;"D - Instalar software o aplicaciones";"Total";"Hombre";"Bizkaia";"%";59
2022;"D - Instalar software o aplicaciones";"Total";"Hombre";"Bizkaia";"%";57
2025;"D - Instalar software o aplicaciones";"Total";"Hombre";"Bizkaia";"%";50,1
2021;"D - Instalar software o aplicaciones";"Total";"Hombre";"Gipuzkoa";"%";67,1
2024;"D - Instalar software o aplicaciones";"Total";"Hombre";"Gipuzkoa";"%";49,9
2023;"D - Instalar software o aplicaciones";"Total";"Hombre";"Gipuzkoa";"%";54,5
2025;"D - Instalar software o aplicaciones";"Total";"Hombre";"Gipuzkoa";"%";47,1
2022;"D - Instalar software o aplicaciones";"Total";"Hombre";"Gipuzkoa";"%";55,1
2020;"D - Instalar software o aplicaciones";"Total";"Hombre";"Gipuzkoa";"%";63,7
2019;"D - Instalar software o aplicaciones";"Total";"Hombre";"Gipuzkoa";"%";53,9
2023;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"C.A. de Euskadi";"%";37,7
2020;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"C.A. de Euskadi";"%";31,5
2021;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"C.A. de Euskadi";"%";32,2
2025;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"C.A. de Euskadi";"%";33,1
2019;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"C.A. de Euskadi";"%";20,5
2022;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"C.A. de Euskadi";"%";26,7
2024;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"C.A. de Euskadi";"%";23,2
2020;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"Araba/Álava";"%";29,3
2019;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"Araba/Álava";"%";23,9
2021;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"Araba/Álava";"%";29,9
2024;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"Araba/Álava";"%";23,4
2025;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"Araba/Álava";"%";34,1
2022;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"Araba/Álava";"%";28
2023;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"Araba/Álava";"%";37,3
2020;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"Bizkaia";"%";31,1
2024;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"Bizkaia";"%";23,6
2019;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"Bizkaia";"%";20,1
2023;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"Bizkaia";"%";38,8
2021;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"Bizkaia";"%";33,7
2022;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"Bizkaia";"%";26,8
2025;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"Bizkaia";"%";33,5
2023;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"Gipuzkoa";"%";36,2
2025;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"Gipuzkoa";"%";32,1
2024;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"Gipuzkoa";"%";22,3
2021;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"Gipuzkoa";"%";31
2020;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"Gipuzkoa";"%";33,1
2019;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"Gipuzkoa";"%";19,7
2022;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"Total";"Hombre";"Gipuzkoa";"%";26,1
2019;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"C.A. de Euskadi";"%";57,8
2022;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"C.A. de Euskadi";"%";57,9
2023;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"C.A. de Euskadi";"%";56,7
2024;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"C.A. de Euskadi";"%";52,4
2025;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"C.A. de Euskadi";"%";54,3
2020;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"C.A. de Euskadi";"%";57,3
2021;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"C.A. de Euskadi";"%";62,7
2022;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"Araba/Álava";"%";55,9
2021;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"Araba/Álava";"%";64,3
2024;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"Araba/Álava";"%";55,3
2023;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"Araba/Álava";"%";54,1
2019;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"Araba/Álava";"%";60
2025;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"Araba/Álava";"%";53,4
2020;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"Araba/Álava";"%";54,3
2019;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"Bizkaia";"%";58,6
2025;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"Bizkaia";"%";54,7
2021;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"Bizkaia";"%";63,8
2022;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"Bizkaia";"%";58,1
2024;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"Bizkaia";"%";52,3
2023;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"Bizkaia";"%";57
2020;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"Bizkaia";"%";57,5
2024;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"Gipuzkoa";"%";51,1
2025;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"Gipuzkoa";"%";54,1
2020;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"Gipuzkoa";"%";58,4
2022;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"Gipuzkoa";"%";58,7
2021;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"Gipuzkoa";"%";60,2
2019;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"Gipuzkoa";"%";55,4
2023;"B - Copiar o mover ficheros o carpetas";"Total";"Hombre";"Gipuzkoa";"%";57,4
2022;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"C.A. de Euskadi";"%";41,7
2025;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"C.A. de Euskadi";"%";43,1
2021;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"C.A. de Euskadi";"%";46,8
2019;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"C.A. de Euskadi";"%";42,7
2023;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"C.A. de Euskadi";"%";40,3
2020;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"C.A. de Euskadi";"%";45,5
2024;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"C.A. de Euskadi";"%";41,5
2019;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"Araba/Álava";"%";40,6
2025;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"Araba/Álava";"%";43,8
2024;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"Araba/Álava";"%";40,4
2023;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"Araba/Álava";"%";37,2
2020;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"Araba/Álava";"%";43,6
2022;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"Araba/Álava";"%";42,7
2021;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"Araba/Álava";"%";48,3
2019;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"Bizkaia";"%";44,2
2020;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"Bizkaia";"%";46,3
2024;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"Bizkaia";"%";41,5
2023;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"Bizkaia";"%";39,2
2025;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"Bizkaia";"%";42,9
2021;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"Bizkaia";"%";48,4
2022;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"Bizkaia";"%";41,8
2024;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"Gipuzkoa";"%";42,2
2023;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"Gipuzkoa";"%";43,5
2019;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"Gipuzkoa";"%";41,4
2021;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"Gipuzkoa";"%";43,7
2025;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"Gipuzkoa";"%";43,2
2022;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"Gipuzkoa";"%";40,9
2020;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Hombre";"Gipuzkoa";"%";45
2021;"H - Programar en un lenguaje de programación";"Total";"Hombre";"C.A. de Euskadi";"%";7,4
2023;"H - Programar en un lenguaje de programación";"Total";"Hombre";"C.A. de Euskadi";"%";8,1
2019;"H - Programar en un lenguaje de programación";"Total";"Hombre";"C.A. de Euskadi";"%";8,1
2024;"H - Programar en un lenguaje de programación";"Total";"Hombre";"C.A. de Euskadi";"%";6,1
2025;"H - Programar en un lenguaje de programación";"Total";"Hombre";"C.A. de Euskadi";"%";8,6
2020;"H - Programar en un lenguaje de programación";"Total";"Hombre";"C.A. de Euskadi";"%";7,4
2022;"H - Programar en un lenguaje de programación";"Total";"Hombre";"C.A. de Euskadi";"%";7,2
2022;"H - Programar en un lenguaje de programación";"Total";"Hombre";"Araba/Álava";"%";6,5
2025;"H - Programar en un lenguaje de programación";"Total";"Hombre";"Araba/Álava";"%";6,3
2023;"H - Programar en un lenguaje de programación";"Total";"Hombre";"Araba/Álava";"%";5
2020;"H - Programar en un lenguaje de programación";"Total";"Hombre";"Araba/Álava";"%";6,8
2021;"H - Programar en un lenguaje de programación";"Total";"Hombre";"Araba/Álava";"%";7,7
2024;"H - Programar en un lenguaje de programación";"Total";"Hombre";"Araba/Álava";"%";5,3
2019;"H - Programar en un lenguaje de programación";"Total";"Hombre";"Araba/Álava";"%";7,6
2019;"H - Programar en un lenguaje de programación";"Total";"Hombre";"Bizkaia";"%";8,5
2021;"H - Programar en un lenguaje de programación";"Total";"Hombre";"Bizkaia";"%";7
2023;"H - Programar en un lenguaje de programación";"Total";"Hombre";"Bizkaia";"%";8,5
2025;"H - Programar en un lenguaje de programación";"Total";"Hombre";"Bizkaia";"%";10,1
2022;"H - Programar en un lenguaje de programación";"Total";"Hombre";"Bizkaia";"%";6,6
2020;"H - Programar en un lenguaje de programación";"Total";"Hombre";"Bizkaia";"%";8
2024;"H - Programar en un lenguaje de programación";"Total";"Hombre";"Bizkaia";"%";5,8
2024;"H - Programar en un lenguaje de programación";"Total";"Hombre";"Gipuzkoa";"%";6,9
2023;"H - Programar en un lenguaje de programación";"Total";"Hombre";"Gipuzkoa";"%";8,9
2025;"H - Programar en un lenguaje de programación";"Total";"Hombre";"Gipuzkoa";"%";7,3
2021;"H - Programar en un lenguaje de programación";"Total";"Hombre";"Gipuzkoa";"%";7,8
2022;"H - Programar en un lenguaje de programación";"Total";"Hombre";"Gipuzkoa";"%";8,6
2020;"H - Programar en un lenguaje de programación";"Total";"Hombre";"Gipuzkoa";"%";6,7
2019;"H - Programar en un lenguaje de programación";"Total";"Hombre";"Gipuzkoa";"%";7,8
2020;"G - Usar hojas de cálculo";"Total";"Hombre";"C.A. de Euskadi";"%";42,5
2022;"G - Usar hojas de cálculo";"Total";"Hombre";"C.A. de Euskadi";"%";43,4
2024;"G - Usar hojas de cálculo";"Total";"Hombre";"C.A. de Euskadi";"%";46,7
2023;"G - Usar hojas de cálculo";"Total";"Hombre";"C.A. de Euskadi";"%";42,8
2025;"G - Usar hojas de cálculo";"Total";"Hombre";"C.A. de Euskadi";"%";44,1
2021;"G - Usar hojas de cálculo";"Total";"Hombre";"C.A. de Euskadi";"%";46,6
2019;"G - Usar hojas de cálculo";"Total";"Hombre";"C.A. de Euskadi";"%";44,3
2020;"G - Usar hojas de cálculo";"Total";"Hombre";"Araba/Álava";"%";39,7
2022;"G - Usar hojas de cálculo";"Total";"Hombre";"Araba/Álava";"%";46
2023;"G - Usar hojas de cálculo";"Total";"Hombre";"Araba/Álava";"%";35,4
2019;"G - Usar hojas de cálculo";"Total";"Hombre";"Araba/Álava";"%";45,7
2025;"G - Usar hojas de cálculo";"Total";"Hombre";"Araba/Álava";"%";44,2
2021;"G - Usar hojas de cálculo";"Total";"Hombre";"Araba/Álava";"%";44,9
2024;"G - Usar hojas de cálculo";"Total";"Hombre";"Araba/Álava";"%";46,1
2019;"G - Usar hojas de cálculo";"Total";"Hombre";"Bizkaia";"%";44,2
2025;"G - Usar hojas de cálculo";"Total";"Hombre";"Bizkaia";"%";44,8
2023;"G - Usar hojas de cálculo";"Total";"Hombre";"Bizkaia";"%";43,3
2020;"G - Usar hojas de cálculo";"Total";"Hombre";"Bizkaia";"%";44,3
2021;"G - Usar hojas de cálculo";"Total";"Hombre";"Bizkaia";"%";48,2
2022;"G - Usar hojas de cálculo";"Total";"Hombre";"Bizkaia";"%";43
2024;"G - Usar hojas de cálculo";"Total";"Hombre";"Bizkaia";"%";47,8
2025;"G - Usar hojas de cálculo";"Total";"Hombre";"Gipuzkoa";"%";42,9
2022;"G - Usar hojas de cálculo";"Total";"Hombre";"Gipuzkoa";"%";43
2024;"G - Usar hojas de cálculo";"Total";"Hombre";"Gipuzkoa";"%";45,1
2019;"G - Usar hojas de cálculo";"Total";"Hombre";"Gipuzkoa";"%";43,9
2020;"G - Usar hojas de cálculo";"Total";"Hombre";"Gipuzkoa";"%";40,9
2021;"G - Usar hojas de cálculo";"Total";"Hombre";"Gipuzkoa";"%";44,8
2023;"G - Usar hojas de cálculo";"Total";"Hombre";"Gipuzkoa";"%";45,6
2023;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"C.A. de Euskadi";"%";51,9
2022;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"C.A. de Euskadi";"%";53,2
2020;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"C.A. de Euskadi";"%";57,8
2019;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"C.A. de Euskadi";"%";53,8
2025;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"C.A. de Euskadi";"%";44,1
2021;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"C.A. de Euskadi";"%";62
2024;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"C.A. de Euskadi";"%";39,7
2024;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"Araba/Álava";"%";41,1
2025;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"Araba/Álava";"%";42,4
2019;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"Araba/Álava";"%";54,8
2023;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"Araba/Álava";"%";46,1
2022;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"Araba/Álava";"%";52,2
2021;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"Araba/Álava";"%";62,9
2020;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"Araba/Álava";"%";57,6
2024;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"Bizkaia";"%";40,1
2025;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"Bizkaia";"%";44,5
2022;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"Bizkaia";"%";54,2
2023;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"Bizkaia";"%";53,4
2021;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"Bizkaia";"%";62,2
2020;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"Bizkaia";"%";57
2019;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"Bizkaia";"%";55,3
2023;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"Gipuzkoa";"%";52,3
2022;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"Gipuzkoa";"%";52,1
2021;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"Gipuzkoa";"%";61,2
2020;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"Gipuzkoa";"%";59,2
2019;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"Gipuzkoa";"%";50,9
2025;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"Gipuzkoa";"%";44,3
2024;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"Total";"Hombre";"Gipuzkoa";"%";38,3
2022;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"C.A. de Euskadi";"%";93,5
2023;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"C.A. de Euskadi";"%";93,1
2024;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"C.A. de Euskadi";"%";92,5
2025;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"C.A. de Euskadi";"%";92,1
2020;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"C.A. de Euskadi";"%";95,3
2021;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"C.A. de Euskadi";"%";95,7
2019;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"C.A. de Euskadi";"%";93,6
2025;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"Araba/Álava";"%";93,9
2023;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"Araba/Álava";"%";100
2021;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"Araba/Álava";"%";97,2
2019;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"Araba/Álava";"%";91,9
2022;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"Araba/Álava";"%";92,7
2024;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"Araba/Álava";"%";92,8
2020;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"Araba/Álava";"%";100
2021;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"Bizkaia";"%";93,3
2022;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"Bizkaia";"%";91,8
2019;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"Bizkaia";"%";97,2
2020;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"Bizkaia";"%";92
2025;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"Bizkaia";"%";93,3
2024;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"Bizkaia";"%";91,3
2023;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"Bizkaia";"%";89,7
2021;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"Gipuzkoa";"%";98,3
2020;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"Gipuzkoa";"%";98,1
2022;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"Gipuzkoa";"%";96,4
2023;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"Gipuzkoa";"%";94,6
2024;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"Gipuzkoa";"%";94
2019;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"Gipuzkoa";"%";89,4
2025;"A - Al menos una / Competencia global";"16-24 años";"Hombre";"Gipuzkoa";"%";89,6
2019;"D - Instalar software o aplicaciones";"16-24 años";"Hombre";"C.A. de Euskadi";"%";81
2025;"D - Instalar software o aplicaciones";"16-24 años";"Hombre";"C.A. de Euskadi";"%";68,2
2023;"D - Instalar software o aplicaciones";"16-24 años";"Hombre";"C.A. de Euskadi";"%";73,7
2020;"D - Instalar software o aplicaciones";"16-24 años";"Hombre";"C.A. de Euskadi";"%";88,2
2024;"D - Instalar software o aplicaciones";"16-24 años";"Hombre";"C.A. de Euskadi";"%";72,7
2021;"D - Instalar software o aplicaciones";"16-24 años";"Hombre";"C.A. de Euskadi";"%";90,8
