ODS Indicador
"Proporción de la población que vive por debajo del umbral internacional de pobreza, desglosada por sexo, edad, situación laboral y ubicación geográfica (urbana o rural)"
"Proporción de la población que vive por debajo del umbral nacional de pobreza, desglosada por sexo y edad"
"Proporción de hombres, mujeres y niños/as de todas las edades que viven en la pobreza, en todas sus dimensiones, con arreglo a las definiciones nacionales"
"Proporción de la población cubierta por sistemas o niveles mínimos de protección social, desglosada por sexo, distinguiendo entre los niños/as, las personas desempleadas, los ancianos/as, las personas con discapacidad, las mujeres embarazadas, los recién nacidos/as, las víctimas de accidentes de trabajo, las personas pobres y las personas vulnerables"
"Proporción de la población que vive en hogares con acceso a los servicios básicos"
"Número de personas muertas, desaparecidas y afectadas directamente atribuido a desastres por cada 100.000 habitantes"
"Pérdidas económicas directas atribuidas a los desastres en relación con el producto interno bruto (PIB) mundial"
"Proporción de gobiernos locales que adoptan y aplican estrategias locales de reducción del riesgo de desastres en consonancia con las estrategias nacionales"
"Total de subvenciones de asistencia oficial para el desarrollo destinadas a la reducción de la pobreza en porcentaje de la renta nacional bruta del país beneficiario"
"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)"
"Tasas de crecimiento per cápita de los gastos o ingresos de los hogares del 40% más pobre de la población y la población total"
"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos"
"Proporción de la población que declara haberse sentido personalmente discriminada o acosada en los últimos 12 meses"
"Proporción del PIB generada por el trabajo"
"Impacto redistributivo de la política fiscal en el índice de Gini"
"Proporción de la población integrada por refugiados/as, desglosada por país de origen"
"Proporción de la población urbana que vive en barrios marginales, asentamientos informales o viviendas inadecuadas"
"Proporción de ciudades que cuentan con una estructura de participación directa de la sociedad civil en la planificación y gestión urbanas"
"Total de gastos per cápita destinados a la preservación, protección y conservación de todo el patrimonio cultural y natural"
"Número de personas muertas, desaparecidas y afectadas directamente atribuido a desastres por cada 100.000 personas"
"Proporción de residuos sólidos municipales recogidos y administrados en instalaciones controladas"
"Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades"
"Proporción media de la superficie edificada de las ciudades que se dedica a espacios abiertos para uso público"
"Proporción de personas que han sido víctimas de acoso no sexual o sexual en los últimos 12 meses"
"Número de países que cuentan con políticas urbanas nacionales o planes de desarrollo regionales"
"Proporción de gobiernos locales que adoptan y aplican estrategias locales de reducción del riesgo de desastres"
"Número de países que elaboran, adoptan o aplican instrumentos de política destinados a apoyar la transición hacia modalidades de consumo y producción sostenibles"
"Consumo material interno en términos absolutos, per cápita y por PIB"
"Índice de pérdidas de alimentos e índice de desperdicio de alimentos"
"Desechos peligrosos generados per cápita y proporción de desechos peligrosos tratados"
"Tasa nacional de reciclado, en toneladas de material reciclado"
"Número de empresas que publican informes sobre sostenibilidad"
"Número de países que aplican políticas y planes de acción sostenibles en materia de adquisiciones públicas"
"Capacidad instalada de generación de energía renovable en los países en desarrollo y en los países desarrollados"
"Emisiones totales de gases de efecto invernadero por año"
